date,spot,strike,days_to_expiry,expiry_years,market_iv,surface_iv,call_mkt_price,call_pde_price,call_mispricing,put_mkt_price,put_pde_price,put_mispricing,is_atm
2023-10-03,19528.75,19300.0,9,0.024657534246575342,0.09838073817211575,0.098381,291.65,290.2540000380394,1.396,48.7,30.59589876284125,18.1041,False
2023-10-03,19528.75,19350.0,9,0.024657534246575342,0.09986004963891922,0.09986,254.1,251.1601777544263,2.9398,60.1,41.422003678010626,18.678,False
2023-10-03,19528.75,19400.0,9,0.024657534246575342,0.10041734743008411,0.100417,218.5,218.24967917512686,0.2503,73.35,58.431432297473975,14.9186,False
2023-10-03,19528.75,19450.0,9,0.024657534246575342,0.10154139306189983,0.101541,186.5,186.10135668382026,0.3986,89.9,76.20303700493629,13.697,False
2023-10-03,19528.75,19500.0,9,0.024657534246575342,0.10023067170878323,0.100231,154.75,151.13008492761534,3.6199,109.05,91.15169244750032,17.8983,False
2023-10-03,19528.75,19550.0,9,0.024657534246575342,0.09975480692299835,0.099755,127.1,122.80290348028228,4.2971,131.2,112.74443819893837,18.4556,True
2023-10-03,19528.75,19600.0,9,0.024657534246575342,0.09892001237939158,0.09892,102.25,101.86760993183186,0.3824,156.85,141.72907184925657,15.1209,False
2023-10-03,19528.75,19650.0,9,0.024657534246575342,0.09853438372379793,0.098534,81.2,81.55572247888699,-0.3557,184.7,171.33711159508456,13.3629,False
2023-10-03,19528.75,19700.0,9,0.024657534246575342,0.09790997509294361,0.09791,63.05,61.03513755434214,2.0149,216.8,200.73645386930286,16.0635,False
2023-10-03,19528.75,19750.0,9,0.024657534246575342,0.09774192563635972,0.097742,48.4,46.419553766555346,1.9804,251.5,236.04079728028447,15.4592,False
2023-10-03,19528.75,19800.0,9,0.024657534246575342,0.09750434365934703,0.097504,36.4,37.58976622616784,-1.1898,290.6,277.1309369386704,13.4691,False
2023-10-04,19436.099609375,19200.0,8,0.021917808219178082,0.08858978626349491,0.08859,282.95,282.33771848141004,0.6123,39.05,18.90415983040947,20.1458,False
2023-10-04,19436.099609375,19250.0,8,0.021917808219178082,0.08811879591765609,0.088119,241.4,238.04375381869235,3.3562,49.7,24.539013008120016,25.161,False
2023-10-04,19436.099609375,19300.0,8,0.021917808219178082,0.09149703793830652,0.091497,206.1,205.84549463545804,0.2545,63.15,42.26957166530887,20.8804,False
2023-10-04,19436.099609375,19350.0,8,0.021917808219178082,0.09105357685174009,0.091054,170.75,170.54677538284685,0.2032,79.7,56.89967025312298,22.8003,False
2023-10-04,19436.099609375,19400.0,8,0.021917808219178082,0.09164532858800956,0.091645,139.95,136.3471726849349,3.6028,98.2,72.6288853956411,25.5711,False
2023-10-04,19436.099609375,19450.0,8,0.021917808219178082,0.09251496290293662,0.092515,113.2,107.0952855035182,6.1047,120.8,93.30581605465188,27.4942,True
2023-10-04,19436.099609375,19500.0,8,0.021917808219178082,0.09220250313263263,0.092203,88.85,87.99666006351825,0.8533,147.95,124.13600845507715,23.814,False
2023-10-04,19436.099609375,19550.0,8,0.021917808219178082,0.09261361795088276,0.092614,69.0,69.71925612649693,-0.7193,176.85,155.78742235848657,21.0626,False
2023-10-04,19436.099609375,19600.0,8,0.021917808219178082,0.09271968553428127,0.09272,52.3,51.0735218878017,1.2265,210.55,187.07050596021054,23.4795,False
2023-10-04,19436.099609375,19650.0,8,0.021917808219178082,0.09280813158091605,0.092808,38.8,36.484814681837896,2.3152,249.95,222.41061659468252,27.5394,False
2023-10-04,19436.099609375,19700.0,8,0.021917808219178082,0.09370335865358731,0.093703,28.8,30.028621216618134,-1.2286,285.45,265.8832409698848,19.5668,False
2023-10-05,19545.75,19300.0,7,0.019178082191780823,0.06895306527080731,0.068953,275.8,276.2518674545268,-0.4519,27.5,6.45795273410196,21.042,False
2023-10-05,19545.75,19350.0,7,0.019178082191780823,0.07623776235517797,0.076238,234.75,231.86675274609672,2.8832,35.95,12.010548091171621,23.9395,False
2023-10-05,19545.75,19400.0,7,0.019178082191780823,0.07919533555926574,0.079195,195.75,195.80899749105956,-0.059,47.05,25.890502901619676,21.1595,False
2023-10-05,19545.75,19450.0,7,0.019178082191780823,0.08066895002925903,0.080669,159.7,159.8952013375084,-0.1952,61.2,39.91441681355765,21.2856,False
2023-10-05,19545.75,19500.0,7,0.019178082191780823,0.0817650598473313,0.081765,127.55,124.07334919391226,3.4767,79.1,54.03027473545278,25.0697,False
2023-10-05,19545.75,19550.0,7,0.019178082191780823,0.08254155529873539,0.082542,99.5,89.9041250884481,9.5959,100.8,69.79876069548037,31.0012,True
2023-10-05,19545.75,19600.0,7,0.019178082191780823,0.08288983624984046,0.08289,75.45,73.47276299640373,1.9772,126.5,103.30510866892575,23.1949,False
2023-10-05,19545.75,19650.0,7,0.019178082191780823,0.08289655672598617,0.082897,55.4,56.62386728807577,-1.2239,157.0,136.39392302609028,20.6061,False
2023-10-05,19545.75,19700.0,7,0.019178082191780823,0.0827153298586858,0.082715,39.3,39.61355733054588,-0.3136,190.75,169.3213231340486,21.4287,False
2023-10-05,19545.75,19750.0,7,0.019178082191780823,0.0825269727364486,0.082527,26.95,24.263561922167263,2.6864,227.15,203.9090377911608,23.241,False
2023-10-05,19545.75,19800.0,7,0.019178082191780823,0.0821271995248176,0.082127,17.7,19.08762532555094,-1.3876,267.5,248.67081126003666,18.8292,False
2023-10-06,19653.5,19400.0,13,0.03561643835616438,0.07130656518534248,0.071307,315.1,314.90805672916815,0.1919,46.65,16.54767542541547,30.1023,False
2023-10-06,19653.5,19450.0,13,0.03561643835616438,0.07546574021413499,0.075466,276.75,273.3619352056172,3.3881,56.8,24.88593436242522,31.9141,False
