trade_id,entry_date,exit_date,symbol,strike,option_type,quantity,entry_price,exit_price,entry_signal,exit_signal,pnl_gross,pnl_net,friction_paid,holding_bars,is_win
39,2024-02-28,2024-02-29,NIFTY,21850.0,put,50,142.95,84.85,PDE_PUT_UNDERVALUED_-9.44,STOP_LOSS,-2905.0,-3036.8,131.81,1,False
40,2024-02-29,2024-03-04,NIFTY,21850.0,put,50,84.85,84.85,PDE_PUT_UNDERVALUED_-61.59,MEAN_REVERTED,0.0,-97.42,97.42,2,False
41,2024-03-06,2024-03-11,NIFTY,22350.0,put,50,90.9,170.25,PDE_PUT_UNDERVALUED_-27.77,TAKE_PROFIT,3967.5,3866.5,101.0,2,True
42,2024-03-11,2024-03-13,NIFTY,22200.0,put,50,117.55,267.4,PDE_PUT_UNDERVALUED_-13.76,TAKE_PROFIT,7492.5,7375.73,116.77,2,True
43,2024-03-13,2024-03-19,NIFTY,21850.0,put,50,104.85,168.6,PDE_PUT_UNDERVALUED_-25.95,TAKE_PROFIT,3187.5,3078.24,109.25,4,True
44,2024-03-19,2024-03-21,NIFTY,21700.0,put,50,111.55,111.55,PDE_PUT_UNDERVALUED_-36.02,MEAN_REVERTED,0.0,-113.22,113.22,2,False
45,2024-03-21,2024-03-28,NIFTY,21900.0,put,50,59.1,59.1,PDE_PUT_UNDERVALUED_-63.08,MEAN_REVERTED,0.0,-82.18,82.18,4,False
46,2024-03-28,2024-04-04,NIFTY,22200.0,put,50,67.6,67.6,PDE_PUT_UNDERVALUED_-38.38,MEAN_REVERTED,0.0,-87.21,87.21,4,False
47,2024-04-04,2024-04-08,NIFTY,22400.0,put,50,112.25,65.9,PDE_PUT_UNDERVALUED_-15.05,STOP_LOSS,-2317.5,-2431.13,113.63,2,False
48,2024-04-08,2024-04-10,NIFTY,22550.0,put,50,103.6,56.8,PDE_PUT_UNDERVALUED_-7.70,STOP_LOSS,-2340.0,-2448.51,108.52,2,False
49,2024-04-12,2024-04-15,NIFTY,22400.0,put,50,112.3,203.85,PDE_PUT_UNDERVALUED_-33.60,TAKE_PROFIT,4577.5,4463.84,113.66,1,True
50,2024-04-15,2024-04-18,NIFTY,22150.0,put,50,107.2,209.25,PDE_PUT_UNDERVALUED_-47.64,TAKE_PROFIT,5102.5,4991.85,110.64,2,True
51,2024-04-18,2024-04-22,NIFTY,21850.0,put,50,84.45,84.45,PDE_PUT_UNDERVALUED_-37.98,MEAN_REVERTED,0.0,-97.18,97.18,2,False
52,2024-04-22,2024-04-24,NIFTY,22200.0,put,50,105.6,61.9,PDE_PUT_UNDERVALUED_-35.11,STOP_LOSS,-2185.0,-2294.7,109.7,2,False
53,2024-04-24,2024-04-25,NIFTY,22300.0,put,50,89.15,52.85,PDE_PUT_UNDERVALUED_-12.46,STOP_LOSS,-1815.0,-1914.97,99.97,1,False
54,2024-04-26,2024-04-30,NIFTY,22300.0,put,50,110.5,110.5,PDE_PUT_UNDERVALUED_-47.23,MEAN_REVERTED,0.0,-112.6,112.6,2,False
55,2024-04-30,2024-05-02,NIFTY,22500.0,put,50,98.7,61.35,PDE_PUT_UNDERVALUED_-30.75,STOP_LOSS,-1867.5,-1973.12,105.61,1,False
56,2024-05-02,2024-05-03,NIFTY,22500.0,put,50,61.35,186.7,PDE_PUT_UNDERVALUED_-46.77,TAKE_PROFIT,6267.5,6183.99,83.51,1,True
57,2024-05-03,2024-05-07,NIFTY,22350.0,put,50,128.55,200.3,PDE_PUT_UNDERVALUED_-17.88,MEAN_REVERTED,3587.5,3464.22,123.28,2,True
58,2024-05-08,2024-05-09,NIFTY,22200.0,put,50,114.85,270.05,PDE_PUT_UNDERVALUED_-4.12,TAKE_PROFIT,7760.0,7644.83,115.18,1,True
59,2024-05-09,2024-05-14,NIFTY,21850.0,put,50,105.45,105.45,PDE_PUT_UNDERVALUED_-28.43,MEAN_REVERTED,0.0,-109.61,109.61,3,False
60,2024-05-14,2024-05-16,NIFTY,22100.0,put,50,113.25,113.25,PDE_PUT_UNDERVALUED_-16.39,MEAN_REVERTED,0.0,-114.22,114.22,2,False
61,2024-05-21,2024-05-23,NIFTY,22400.0,put,50,105.75,105.75,PDE_PUT_UNDERVALUED_-41.65,MEAN_REVERTED,0.0,-109.79,109.79,2,False
62,2024-05-23,2024-05-24,NIFTY,23050.0,put,50,188.25,397.4,PDE_PUT_UNDERVALUED_-5.02,TAKE_PROFIT,10457.5,10298.88,158.62,1,True
63,2024-05-24,2024-05-30,NIFTY,22850.0,put,50,320.35,320.35,PDE_PUT_UNDERVALUED_-55.79,MEAN_REVERTED,0.0,-236.8,236.8,4,False
64,2024-05-30,2024-06-03,NIFTY,22350.0,put,50,337.65,337.65,PDE_PUT_UNDERVALUED_-38.18,MEAN_REVERTED,0.0,-247.04,247.04,2,False
65,2024-06-03,2024-06-05,NIFTY,23150.0,put,50,320.3,320.3,PDE_PUT_UNDERVALUED_-38.50,MEAN_REVERTED,0.0,-236.77,236.77,2,False
66,2024-06-06,2024-06-10,NIFTY,22700.0,put,50,157.55,157.55,PDE_PUT_UNDERVALUED_-9.46,MEAN_REVERTED,0.0,-140.44,140.44,2,False
67,2024-06-24,2024-06-26,NIFTY,23400.0,put,50,120.9,120.9,PDE_PUT_UNDERVALUED_-11.75,MEAN_REVERTED,0.0,-118.76,118.76,2,False
