trade_id,entry_date,exit_date,symbol,strike,option_type,quantity,entry_price,exit_price,entry_signal,exit_signal,pnl_gross,pnl_net,friction_paid,holding_bars,is_win
24,2024-03-11,2024-03-18,NIFTY,22350.0,call,50,212.05,243.35,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,1565.0,1392.3,172.7,5,True
25,2024-03-18,2024-03-21,NIFTY,22050.0,put,50,159.45,88.0,RSI_MOMENTUM_MACD_BEAR,STOP_LOSS,-3572.5,-3714.07,141.57,3,False
26,2024-03-21,2024-04-01,NIFTY,22000.0,put,50,88.0,130.05,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,2102.5,2003.22,99.28,5,True
27,2024-04-01,2024-04-08,NIFTY,22450.0,call,50,213.0,202.8,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,-510.0,-683.26,173.27,5,False
28,2024-04-08,2024-04-16,NIFTY,22650.0,call,50,202.8,200.0,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,-140.0,-307.23,167.22,5,False
29,2024-04-16,2024-04-24,NIFTY,22150.0,put,50,150.6,124.95,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-1282.5,-1418.83,136.34,5,False
30,2024-04-25,2024-05-03,NIFTY,22550.0,put,50,122.4,186.7,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,3215.0,3095.36,119.64,5,True
31,2024-05-03,2024-05-10,NIFTY,22500.0,call,50,233.95,244.3,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,517.5,331.84,185.66,5,True
32,2024-05-10,2024-05-17,NIFTY,22050.0,put,50,188.7,182.2,RSI_MOMENTUM_MACD_BEAR,TIME_EXPIRY,-325.0,-483.88,158.88,5,False
33,2024-05-17,2024-05-24,NIFTY,22450.0,put,50,182.2,360.25,RSI_MOMENTUM_MACD_BEAR,TAKE_PROFIT,8902.5,8747.47,155.03,4,True
34,2024-05-24,2024-05-31,NIFTY,22950.0,call,50,469.9,556.1,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,4310.0,3984.69,325.31,5,True
35,2024-05-31,2024-06-05,NIFTY,22550.0,call,50,556.1,296.4,RSI_MOMENTUM_MACD_BULL,STOP_LOSS,-12985.0,-13361.33,376.33,3,False
36,2024-06-07,2024-06-13,NIFTY,23300.0,call,50,293.25,132.2,RSI_MOMENTUM_MACD_BULL,STOP_LOSS,-8052.5,-8273.26,220.76,4,False
37,2024-06-13,2024-06-21,NIFTY,23400.0,call,50,132.2,227.7,RSI_MOMENTUM_MACD_BULL,TAKE_PROFIT,4775.0,4649.56,125.45,5,True
38,2024-06-21,2024-06-28,NIFTY,23500.0,call,50,227.7,268.4,RSI_MOMENTUM_MACD_BULL,TIME_EXPIRY,2035.0,1853.03,181.97,5,True
